fonte,nome,radical,irmaos_mesmo_radical,scope,linhas_no_sufixo,radical_existe_como_nome,classificacao
seed:max_ht,a13_l123,a13,a13_l123 a13_l45 a13_l67,linha_grupo/L1_L3,L1 L2 L3,não,2/3: espacialização por nome redundante com o escopo (mesmo radical em vários escopos)
seed:max_ht,a13_l45,a13,a13_l123 a13_l45 a13_l67,linha_grupo/L4_L5,L4 L5,não,2/3: espacialização por nome redundante com o escopo (mesmo radical em vários escopos)
seed:max_ht,a13_l67,a13,a13_l123 a13_l45 a13_l67,linha_grupo/L6_L7,L6 L7,não,2/3: espacialização por nome redundante com o escopo (mesmo radical em vários escopos)
seed:max_ht,a18_a13_l123,a18_a13,a18_a13_l123 a18_a13_l45 a18_a13_l67,linha_grupo/L1_L3,L1 L2 L3,não,2/3: espacialização por nome redundante com o escopo (mesmo radical em vários escopos)
seed:max_ht,a18_a13_l45,a18_a13,a18_a13_l123 a18_a13_l45 a18_a13_l67,linha_grupo/L4_L5,L4 L5,não,2/3: espacialização por nome redundante com o escopo (mesmo radical em vários escopos)
seed:max_ht,a18_a13_l67,a18_a13,a18_a13_l123 a18_a13_l45 a18_a13_l67,linha_grupo/L6_L7,L6 L7,não,2/3: espacialização por nome redundante com o escopo (mesmo radical em vários escopos)
seed:max_ht,a18_l123,a18,a18_l123 a18_l45 a18_l67,linha_grupo/L1_L3,L1 L2 L3,não,2/3: espacialização por nome redundante com o escopo (mesmo radical em vários escopos)
seed:max_ht,a18_l45,a18,a18_l123 a18_l45 a18_l67,linha_grupo/L4_L5,L4 L5,não,2/3: espacialização por nome redundante com o escopo (mesmo radical em vários escopos)
seed:max_ht,a18_l67,a18,a18_l123 a18_l45 a18_l67,linha_grupo/L6_L7,L6 L7,não,2/3: espacialização por nome redundante com o escopo (mesmo radical em vários escopos)
seed:max_ht,esp_maxht_l123,esp_maxht,esp_maxht_l123 esp_maxht_l45 esp_maxht_l67,linha_grupo/L1_L3,L1 L2 L3,não,2/3: espacialização por nome redundante com o escopo (mesmo radical em vários escopos)
seed:max_ht,esp_maxht_l45,esp_maxht,esp_maxht_l123 esp_maxht_l45 esp_maxht_l67,linha_grupo/L4_L5,L4 L5,não,2/3: espacialização por nome redundante com o escopo (mesmo radical em vários escopos)
seed:max_ht,esp_maxht_l67,esp_maxht,esp_maxht_l123 esp_maxht_l45 esp_maxht_l67,linha_grupo/L6_L7,L6 L7,não,2/3: espacialização por nome redundante com o escopo (mesmo radical em vários escopos)
seed:max_ht,massa_total_max_ht_l123,massa_total_max_ht,massa_total_max_ht_l123 massa_total_max_ht_l45 massa_total_max_ht_l67,linha_grupo/L1_L3,L1 L2 L3,não,2/3: espacialização por nome redundante com o escopo (mesmo radical em vários escopos)
seed:max_ht,massa_total_max_ht_l45,massa_total_max_ht,massa_total_max_ht_l123 massa_total_max_ht_l45 massa_total_max_ht_l67,linha_grupo/L4_L5,L4 L5,não,2/3: espacialização por nome redundante com o escopo (mesmo radical em vários escopos)
seed:max_ht,massa_total_max_ht_l67,massa_total_max_ht,massa_total_max_ht_l123 massa_total_max_ht_l45 massa_total_max_ht_l67,linha_grupo/L6_L7,L6 L7,não,2/3: espacialização por nome redundante com o escopo (mesmo radical em vários escopos)
seed:max_ht,producao_l123,producao,producao_l123 producao_l45 producao_l67,linha_grupo/L1_L3,L1 L2 L3,sim,2/3: espacialização por nome redundante com o escopo (mesmo radical em vários escopos)
seed:max_ht,producao_l45,producao,producao_l123 producao_l45 producao_l67,linha_grupo/L4_L5,L4 L5,sim,2/3: espacialização por nome redundante com o escopo (mesmo radical em vários escopos)
seed:max_ht,producao_l67,producao,producao_l123 producao_l45 producao_l67,linha_grupo/L6_L7,L6 L7,sim,2/3: espacialização por nome redundante com o escopo (mesmo radical em vários escopos)
seed:max_ht,total_horas_dia_l123,total_horas_dia,total_horas_dia_l123 total_horas_dia_l45 total_horas_dia_l67,linha_grupo/L1_L3,L1 L2 L3,sim,2/3: espacialização por nome redundante com o escopo (mesmo radical em vários escopos)
seed:max_ht,total_horas_dia_l45,total_horas_dia,total_horas_dia_l123 total_horas_dia_l45 total_horas_dia_l67,linha_grupo/L4_L5,L4 L5,sim,2/3: espacialização por nome redundante com o escopo (mesmo radical em vários escopos)
seed:max_ht,total_horas_dia_l67,total_horas_dia,total_horas_dia_l123 total_horas_dia_l45 total_horas_dia_l67,linha_grupo/L6_L7,L6 L7,sim,2/3: espacialização por nome redundante com o escopo (mesmo radical em vários escopos)
