Workbook,Variável,Nome,Scope,Referência,Padrão
seed:yield,eoc_solids,eoc_solids,linha/L1_L7 | linha_grupo/L1_L3 | linha_grupo/L1_L7 | linha_grupo/L4_L5 | linha_grupo/L6_L7,,mesmo nome em vários escopos (identidade por escopo)
seed:yield,eoc_solids_base,eoc_solids_base,linha/L1_L7 | linha_grupo/L1_L3 | linha_grupo/L1_L7 | linha_grupo/L4_L5 | linha_grupo/L6_L7,,mesmo nome em vários escopos (identidade por escopo)
seed:yield,eoc_temp,eoc_temp,linha/L1_L7 | linha_grupo/L1_L3 | linha_grupo/L1_L7 | linha_grupo/L4_L5 | linha_grupo/L6_L7,,mesmo nome em vários escopos (identidade por escopo)
seed:yield,eoc_temp_base,eoc_temp_base,linha/L1_L7 | linha_grupo/L1_L3 | linha_grupo/L1_L7 | linha_grupo/L4_L5 | linha_grupo/L6_L7,,mesmo nome em vários escopos (identidade por escopo)
seed:yield,lth,lth,linha/L1_L7 | linha_grupo/L1_L3 | linha_grupo/L1_L7 | linha_grupo/L4_L5 | linha_grupo/L6_L7,,mesmo nome em vários escopos (identidade por escopo)
seed:yield,lth_base,lth_base,linha/L1_L7 | linha_grupo/L1_L3 | linha_grupo/L1_L7 | linha_grupo/L4_L5 | linha_grupo/L6_L7,,mesmo nome em vários escopos (identidade por escopo)
seed:yield,(expressões),,L1,@L1 × 132,referência explícita de linha (@linha)
seed:yield,(expressões),,L2,@L2 × 132,referência explícita de linha (@linha)
seed:yield,(expressões),,L3,@L3 × 132,referência explícita de linha (@linha)
seed:yield,(expressões),,L4,@L4 × 132,referência explícita de linha (@linha)
seed:yield,(expressões),,L5,@L5 × 132,referência explícita de linha (@linha)
seed:yield,(expressões),,L6,@L6 × 132,referência explícita de linha (@linha)
seed:yield,(expressões),,L7,@L7 × 132,referência explícita de linha (@linha)
seed:production,consumo_bauxita,consumo_bauxita,linha/L1_L7 | linha_grupo/L1_L7,,mesmo nome em vários escopos (identidade por escopo)
seed:production,consumo_cbg,consumo_cbg,linha/L1_L7 | linha_grupo/L1_L7,,mesmo nome em vários escopos (identidade por escopo)
seed:production,consumo_mpsa,consumo_mpsa,linha/L1_L7 | linha_grupo/L1_L7,,mesmo nome em vários escopos (identidade por escopo)
seed:production,consumo_mrn,consumo_mrn,linha/L1_L7 | linha_grupo/L1_L7,,mesmo nome em vários escopos (identidade por escopo)
seed:production,pick_up,pick_up,linha/L1 | linha/L2 | linha/L3 | linha/L4 | linha/L5 | linha/L6 | linha/L7,,mesmo nome em vários escopos (identidade por escopo)
