row,entity,frequency,scope,value_type,semantic_role,source_reference,source_sheet,source_cell,dependencies,aggregation,validation_status
3,vazao_ltp@L1_L3,mensal,linha_grupo/L1_L3,numeric,input,Forecast A41!B31,Forecast A41,B31,,,PASS
4,vazao_ltp@L4_L5,mensal,linha_grupo/L4_L5,numeric,input,Forecast A41!B31,Forecast A41,B31,,,PASS
5,vazao_ltp@L6_L7,mensal,linha_grupo/L6_L7,numeric,input,Forecast A41!B31,Forecast A41,B31,,,PASS
6,retirada_cond_corr_ltp@L1_L3,diário,linha_grupo/L1_L3,numeric,equation,Forecast A41!B42,Forecast A41,B42,vazao_ltp,,PASS
7,retirada_cond_corr_ltp@L4_L5,diário,linha_grupo/L4_L5,numeric,equation,Forecast A41!B51,Forecast A41,B51,vazao_ltp,,PASS
8,retirada_cond_corr_ltp@L6_L7,diário,linha_grupo/L6_L7,numeric,equation,Forecast A41!B60,Forecast A41,B60,vazao_ltp,,PASS
9,lth@L1_L7,diário,linha/L1_L7,numeric,input,Forecast A41!B35,Forecast A41,B35,,,PASS
10,lth_grupo@L1_L3,diário,linha_grupo/L1_L3,numeric,equation,Forecast A41!B41,Forecast A41,B41,lth@L1 lth@L2 lth@L3,,PASS
11,lth_grupo@L4_L5,diário,linha_grupo/L4_L5,numeric,equation,Forecast A41!B50,Forecast A41,B50,lth@L4 lth@L5,,PASS
12,lth_grupo@L6_L7,diário,linha_grupo/L6_L7,numeric,equation,Forecast A41!B59,Forecast A41,B59,lth@L6 lth@L7,,PASS
13,fator_retirada_cond_corr_lth@L1_L3,mensal,linha_grupo/L1_L3,numeric,input,Forecast A41!D32,Forecast A41,D32,,,PASS
14,fator_retirada_cond_corr_lth@L4_L5,mensal,linha_grupo/L4_L5,numeric,input,Forecast A41!D32,Forecast A41,D32,,,PASS
15,fator_retirada_cond_corr_lth@L6_L7,mensal,linha_grupo/L6_L7,numeric,input,Forecast A41!D32,Forecast A41,D32,,,PASS
16,retirada_cond_corr_lth@L1_L3,diário,linha_grupo/L1_L3,numeric,equation,Forecast A41!B43,Forecast A41,B43,fator_retirada_cond_corr_lth lth_grupo,,PASS
17,retirada_cond_corr_lth@L4_L5,diário,linha_grupo/L4_L5,numeric,equation,Forecast A41!B52,Forecast A41,B52,fator_retirada_cond_corr_lth lth_grupo,,PASS
18,retirada_cond_corr_lth@L6_L7,diário,linha_grupo/L6_L7,numeric,equation,Forecast A41!B61,Forecast A41,B61,fator_retirada_cond_corr_lth lth_grupo,,PASS
19,valor_retirada@L1,diário,linha/L1,numeric,input,Forecast A41!A11,Forecast A41,A11,,,PASS
20,valor_retirada@L2,diário,linha/L2,numeric,input,Forecast A41!A11,Forecast A41,A11,,,PASS
21,valor_retirada@L3,diário,linha/L3,numeric,input,Forecast A41!A11,Forecast A41,A11,,,PASS
22,retirada_condensado_grupo@L1_L3,diário,linha_grupo/L1_L3,numeric,equation,Forecast A41!A11,Forecast A41,A11,retirada_cond_corr_lth retirada_cond_corr_ltp valor_retirada@L1 valor_retirada@L2 valor_retirada@L3,,PASS
