entidade,frequencia,escopo_declarado,regra_workbook,regra_aplicada,instancia,dias_na_janela,esperado_independente,runtime,unidade_origem,unidade_destino,status
retirada_condensado_grupo,mensal,linha_grupo/L1_L3,Média,AVERAGE,L1_L3,9,140.6743074005563,140.6743074005563,m³/h,m³/h,PASS
retirada_condensado_grupo,anual,linha_grupo/L1_L3,Média,AVERAGE,L1_L3,40,140.48763892699873,140.48763892699873,m³/h,m³/h,PASS
retirada_condensado_grupo,mensal,linha_grupo/L4_L5,Média,AVERAGE,L4_L5,9,90.66176291687513,90.66176291687513,m³/h,m³/h,PASS
retirada_condensado_grupo,anual,linha_grupo/L4_L5,Média,AVERAGE,L4_L5,40,90.97694917177935,90.97694917177935,m³/h,m³/h,PASS
retirada_condensado_grupo,mensal,linha_grupo/L6_L7,Média,AVERAGE,L6_L7,9,102.16734444294993,102.16734444294993,m³/h,m³/h,PASS
retirada_condensado_grupo,anual,linha_grupo/L6_L7,Média,AVERAGE,L6_L7,40,102.40773902331134,102.40773902331134,m³/h,m³/h,PASS
retirada_condensado_linha,mensal,linha/L1_L7,Média,AVERAGE,L1,9,42.75536638824749,42.75536638824749,m³/h,m³/h,PASS
retirada_condensado_linha,mensal,linha/L1_L7,Média,AVERAGE,L2,9,46.894824700316356,46.894824700316356,m³/h,m³/h,PASS
retirada_condensado_linha,mensal,linha/L1_L7,Média,AVERAGE,L3,9,51.02411631199246,51.02411631199246,m³/h,m³/h,PASS
retirada_condensado_linha,mensal,linha/L1_L7,Média,AVERAGE,L4,9,42.12911021235364,42.12911021235364,m³/h,m³/h,PASS
retirada_condensado_linha,mensal,linha/L1_L7,Média,AVERAGE,L5,9,48.53265270452148,48.53265270452148,m³/h,m³/h,PASS
retirada_condensado_linha,mensal,linha/L1_L7,Média,AVERAGE,L6,9,46.129676603408036,46.129676603408036,m³/h,m³/h,PASS
retirada_condensado_linha,mensal,linha/L1_L7,Média,AVERAGE,L7,9,56.03766783954188,56.03766783954188,m³/h,m³/h,PASS
retirada_condensado_linha,anual,linha/L1_L7,Média,AVERAGE,L1,40,42.629862464091765,42.629862464091765,m³/h,m³/h,PASS
retirada_condensado_linha,anual,linha/L1_L7,Média,AVERAGE,L2,40,46.82872838189856,46.82872838189856,m³/h,m³/h,PASS
retirada_condensado_linha,anual,linha/L1_L7,Média,AVERAGE,L3,40,51.029048081008426,51.029048081008426,m³/h,m³/h,PASS
retirada_condensado_linha,anual,linha/L1_L7,Média,AVERAGE,L4,40,42.24052390968058,42.24052390968058,m³/h,m³/h,PASS
retirada_condensado_linha,anual,linha/L1_L7,Média,AVERAGE,L5,40,48.73642526209879,48.73642526209879,m³/h,m³/h,PASS
retirada_condensado_linha,anual,linha/L1_L7,Média,AVERAGE,L6,40,46.49635254270804,46.49635254270804,m³/h,m³/h,PASS
retirada_condensado_linha,anual,linha/L1_L7,Média,AVERAGE,L7,40,55.91138648060333,55.91138648060333,m³/h,m³/h,PASS
retirada_condensado_total,mensal,linha_grupo/L1_L7,Média,AVERAGE,L1_L7,9,333.50341476038136,333.50341476038136,m³/h,m³/h,PASS
retirada_condensado_total,anual,linha_grupo/L1_L7,Média,AVERAGE,L1_L7,40,333.87232712208953,333.87232712208953,m³/h,m³/h,PASS
