transicao,celula,entidade,antes,depois,natureza,esperada,justificativa
v3 -> v4,(identidade),lth@diário@linha@L1_L3,1 linha(s),0 linha(s),estrutura de entidades,sim,Consolidação v3->v4 (duplicatas Somatório/Média removidas; lth unificado em L1_L7; linha diária por linha; PLANTA canônico).
v3 -> v4,(identidade),lth@diário@linha@L1_L7,0 linha(s),1 linha(s),estrutura de entidades,sim,Consolidação v3->v4 (duplicatas Somatório/Média removidas; lth unificado em L1_L7; linha diária por linha; PLANTA canônico).
v3 -> v4,(identidade),lth@diário@linha@L4_L5,1 linha(s),0 linha(s),estrutura de entidades,sim,Consolidação v3->v4 (duplicatas Somatório/Média removidas; lth unificado em L1_L7; linha diária por linha; PLANTA canônico).
v3 -> v4,(identidade),lth@diário@linha@L6_L7,1 linha(s),0 linha(s),estrutura de entidades,sim,Consolidação v3->v4 (duplicatas Somatório/Média removidas; lth unificado em L1_L7; linha diária por linha; PLANTA canônico).
v3 -> v4,(expression),lth_grupo@diário@linha_grupo@L1_L3,lth@L1 + lth@L2 + lth@L3,( lth@L1 + lth@L2 + lth@L3 ) / 3,expression,sim,Correções v3->v4 (A020 média de lth_grupo; ln(lth_grupo·fator); source_reference; OBS 41c/41d).
v3 -> v4,(source_reference),lth_grupo@diário@linha_grupo@L1_L3,None,Forecast A41!B41,source_reference,sim,Correções v3->v4 (A020 média de lth_grupo; ln(lth_grupo·fator); source_reference; OBS 41c/41d).
v3 -> v4,(expression),lth_grupo@diário@linha_grupo@L4_L5,lth@L4 + lth@L5,( lth@L4 + lth@L5 ) / 2,expression,sim,Correções v3->v4 (A020 média de lth_grupo; ln(lth_grupo·fator); source_reference; OBS 41c/41d).
v3 -> v4,(source_reference),lth_grupo@diário@linha_grupo@L4_L5,None,Forecast A41!B50,source_reference,sim,Correções v3->v4 (A020 média de lth_grupo; ln(lth_grupo·fator); source_reference; OBS 41c/41d).
v3 -> v4,(expression),lth_grupo@diário@linha_grupo@L6_L7,lth@L6 + lth@L7,( lth@L6 + lth@L7 ) /2,expression,sim,Correções v3->v4 (A020 média de lth_grupo; ln(lth_grupo·fator); source_reference; OBS 41c/41d).
v3 -> v4,(source_reference),lth_grupo@diário@linha_grupo@L6_L7,None,Forecast A41!B59,source_reference,sim,Correções v3->v4 (A020 média de lth_grupo; ln(lth_grupo·fator); source_reference; OBS 41c/41d).
