row,Type,name,description,unit,value,version,variable_type,frequency,scope_type,scope_value,source_reference,status,expression,fonte,OBS,value_type,role
3,variable,vazao_ltp,Vazão de LTP do grupo de linhas L1 a L3.,-,,,entrada_externa,mensal,linha_grupo,L1_L3,Forecast A41!B31,ativo,,,Valor para Julho 2026 = 1320. VERIFICAR: (i) o motivo de não utilizar o valor proveniente do bloco yield;(ii) motivo de não utilizarem o valor de LTP = 1067; (iii) os valores de LTH = 1100 e 970 que também não são utilizados em lugar nenhum da planilha.,numeric,input
4,variable,vazao_ltp,Vazão de LTP do grupo de linhas L4 a L5.,-,,,entrada_externa,mensal,linha_grupo,L4_L5,Forecast A41!B31,ativo,,,Valor para Julho 2026 = 1320. VERIFICAR: (i) o motivo de não utilizar o valor proveniente do bloco yield;(ii) motivo de não utilizarem o valor de LTP = 1067; (iii) os valores de LTH = 1100 e 970 que também não são utilizados em lugar nenhum da planilha.,numeric,input
5,variable,vazao_ltp,Vazão de LTP do grupo de linhas L6 a L7.,-,,,entrada_externa,mensal,linha_grupo,L6_L7,Forecast A41!B31,ativo,,,Valor para Julho 2026 = 1320. VERIFICAR: (i) o motivo de não utilizar o valor proveniente do bloco yield;(ii) motivo de não utilizarem o valor de LTP = 1067; (iii) os valores de LTH = 1100 e 970 que também não são utilizados em lugar nenhum da planilha.,numeric,input
6,variable / equation,retirada_cond_corr_ltp,Retirada de condensado corrigida em função da vazão de LTP para o grupo de linhas L1 a L3.,m³/h,,,calculado,diário,linha_grupo,L1_L3,Forecast A41!B42,ativo,19.475*ln(vazao_ltp) - 85.999,,,numeric,equation
7,variable / equation,retirada_cond_corr_ltp,Retirada de condensado corrigida em função da vazão de LTP para o grupo de linhas L4 a L5.,m³/h,,,calculado,diário,linha_grupo,L4_L5,Forecast A41!B51,ativo,19.475*ln(vazao_ltp) - 85.999,,,numeric,equation
8,variable / equation,retirada_cond_corr_ltp,Retirada de condensado corrigida em função da vazão de LTP para o grupo de linhas L6 a L7.,m³/h,,,calculado,diário,linha_grupo,L6_L7,Forecast A41!B60,ativo,19.475*ln(vazao_ltp) - 85.999,,,numeric,equation
9,variable,lth,"LTH de cada linha da área 41, utilizado nos cálculos de retirada de condensado.",m³/h,,,entrada,diário,linha,L1_L7,Forecast A41!B35,ativo,,bloco yield,"Yield 2026!E4:OB4
Yield 2026!E20:OB20
Yield 2026!E36:OB36",numeric,input
10,variable / equation,lth_grupo,"Média dos valores de LTH das linhas L1, L2 e L3.",m³/h,,,calculado,diário,linha_grupo,L1_L3,Forecast A41!B41,ativo,( lth@L1 + lth@L2 + lth@L3 ) / 3,,,numeric,equation
11,variable / equation,lth_grupo,Média dos valores de LTH das linhas L4 e L5.,m³/h,,,calculado,diário,linha_grupo,L4_L5,Forecast A41!B50,ativo,( lth@L4 + lth@L5 ) / 2,,,numeric,equation
12,variable / equation,lth_grupo,Média dos valores de LTH das linhas L6 e L7.,m³/h,,,calculado,diário,linha_grupo,L6_L7,Forecast A41!B59,ativo,( lth@L6 + lth@L7 ) /2,,,numeric,equation
13,variable,fator_retirada_cond_corr_lth,Fator de correção da retirada de condensado em função do LTH para o grupo de linhas L1 a L3.,-,,,entrada_externa,mensal,linha_grupo,L1_L3,Forecast A41!D32,ativo,,,Valor para Julho 2026 = 1.1. ATENÇÃO: Existem o valor de 1.15 indicado na planilha que não está sendo utilizado.,numeric,input
14,variable,fator_retirada_cond_corr_lth,Fator de correção da retirada de condensado em função do LTH para o grupo de linhas L4 a L5.,-,,,entrada_externa,mensal,linha_grupo,L4_L5,Forecast A41!D32,ativo,,,Valor para Julho 2026 = 1.1. ATENÇÃO: Existem o valor de 1.15 indicado na planilha que não está sendo utilizado.,numeric,input
15,variable,fator_retirada_cond_corr_lth,Fator de correção da retirada de condensado em função do LTH para o grupo de linhas L6 a L7.,-,,,entrada_externa,mensal,linha_grupo,L6_L7,Forecast A41!D32,ativo,,,Valor para Julho 2026 = 1.1. ATENÇÃO: Existem o valor de 1.15 indicado na planilha que não está sendo utilizado.,numeric,input
16,variable / equation,retirada_cond_corr_lth,Retirada de condensado corrigida em função do LTH para o grupo de linhas L1 a L3.,m³/h,,,calculado,diário,linha_grupo,L1_L3,Forecast A41!B43,ativo,19.475*ln(lth_grupo * fator_retirada_cond_corr_lth) - 85.999,,,numeric,equation
17,variable / equation,retirada_cond_corr_lth,Retirada de condensado corrigida em função do LTH para o grupo de linhas L4 a L5.,m³/h,,,calculado,diário,linha_grupo,L4_L5,Forecast A41!B52,ativo,19.475*ln(lth_grupo * fator_retirada_cond_corr_lth) - 85.999,,,numeric,equation
18,variable / equation,retirada_cond_corr_lth,Retirada de condensado corrigida em função do LTH para o grupo de linhas L6 a L7.,m³/h,,,calculado,diário,linha_grupo,L6_L7,Forecast A41!B61,ativo,19.475*ln(lth_grupo * fator_retirada_cond_corr_lth) - 85.999,,,numeric,equation
19,variable,valor_retirada,Valor de retirada de condensado da linha L1.,m³/h,,,entrada_externa,diário,linha,L1,Forecast A41!A11,ativo,,,Valor para Julho 2026 = 47. Verificar o que significa essa variável e ajustar nomenclatura conforme significado,numeric,input
