workbook_linha,celula_forecast,entidade,interpretacao,valor_informado_no_workbook,celula_compartilhada_com,corroboracao_interna,resultado,status
3,Forecast A41!B31,vazao_ltp@L1_L3 (mensal),Vazão de LTP do grupo de linhas L1 a L3.,Valor para Julho 2026 = 1320,vazao_ltp@L4_L5 vazao_ltp@L6_L7,,fonte Forecast A41 indisponível,NOT VERIFIED
4,Forecast A41!B31,vazao_ltp@L4_L5 (mensal),Vazão de LTP do grupo de linhas L4 a L5.,Valor para Julho 2026 = 1320,vazao_ltp@L1_L3 vazao_ltp@L6_L7,,fonte Forecast A41 indisponível,NOT VERIFIED
5,Forecast A41!B31,vazao_ltp@L6_L7 (mensal),Vazão de LTP do grupo de linhas L6 a L7.,Valor para Julho 2026 = 1320,vazao_ltp@L1_L3 vazao_ltp@L4_L5,,fonte Forecast A41 indisponível,NOT VERIFIED
6,Forecast A41!B42,retirada_cond_corr_ltp@L1_L3 (diário),Retirada de condensado corrigida em função da vazão de LTP para o grupo de linhas L1 a L3.,,,,fonte Forecast A41 indisponível,NOT VERIFIED
7,Forecast A41!B51,retirada_cond_corr_ltp@L4_L5 (diário),Retirada de condensado corrigida em função da vazão de LTP para o grupo de linhas L4 a L5.,,,,fonte Forecast A41 indisponível,NOT VERIFIED
8,Forecast A41!B60,retirada_cond_corr_ltp@L6_L7 (diário),Retirada de condensado corrigida em função da vazão de LTP para o grupo de linhas L6 a L7.,,,,fonte Forecast A41 indisponível,NOT VERIFIED
9,Forecast A41!B35,lth@L1_L7 (diário),"LTH de cada linha da área 41, utilizado nos cálculos de retirada de condensado.","Yield 2026!E4:OB4
Yield 2026!E20:OB20
Yield 2026!E36:OB36",,,fonte Forecast A41 indisponível,NOT VERIFIED
10,Forecast A41!B41,lth_grupo@L1_L3 (diário),"Média dos valores de LTH das linhas L1, L2 e L3.",,,,fonte Forecast A41 indisponível,NOT VERIFIED
11,Forecast A41!B50,lth_grupo@L4_L5 (diário),Média dos valores de LTH das linhas L4 e L5.,,,,fonte Forecast A41 indisponível,NOT VERIFIED
12,Forecast A41!B59,lth_grupo@L6_L7 (diário),Média dos valores de LTH das linhas L6 e L7.,,,,fonte Forecast A41 indisponível,NOT VERIFIED
13,Forecast A41!D32,fator_retirada_cond_corr_lth@L1_L3 (mensal),Fator de correção da retirada de condensado em função do LTH para o grupo de linhas L1 a L3.,Valor para Julho 2026 = 1,fator_retirada_cond_corr_lth@L4_L5 fator_retirada_cond_corr_lth@L6_L7,,fonte Forecast A41 indisponível,NOT VERIFIED
14,Forecast A41!D32,fator_retirada_cond_corr_lth@L4_L5 (mensal),Fator de correção da retirada de condensado em função do LTH para o grupo de linhas L4 a L5.,Valor para Julho 2026 = 1,fator_retirada_cond_corr_lth@L1_L3 fator_retirada_cond_corr_lth@L6_L7,,fonte Forecast A41 indisponível,NOT VERIFIED
15,Forecast A41!D32,fator_retirada_cond_corr_lth@L6_L7 (mensal),Fator de correção da retirada de condensado em função do LTH para o grupo de linhas L6 a L7.,Valor para Julho 2026 = 1,fator_retirada_cond_corr_lth@L1_L3 fator_retirada_cond_corr_lth@L4_L5,,fonte Forecast A41 indisponível,NOT VERIFIED
16,Forecast A41!B43,retirada_cond_corr_lth@L1_L3 (diário),Retirada de condensado corrigida em função do LTH para o grupo de linhas L1 a L3.,,,,fonte Forecast A41 indisponível,NOT VERIFIED
17,Forecast A41!B52,retirada_cond_corr_lth@L4_L5 (diário),Retirada de condensado corrigida em função do LTH para o grupo de linhas L4 a L5.,,,,fonte Forecast A41 indisponível,NOT VERIFIED
18,Forecast A41!B61,retirada_cond_corr_lth@L6_L7 (diário),Retirada de condensado corrigida em função do LTH para o grupo de linhas L6 a L7.,,,,fonte Forecast A41 indisponível,NOT VERIFIED
