perturbacao,entrada,de,para,afetados_esperados_DAG,afetados_observados,status
lth@L1 +10%,lth@L1,1000.0,1100.0,lth_grupo@L1_L3 retirada_cond_corr_lth@L1_L3 retirada_condensado_grupo@L1_L3 retirada_condensado_linha@L1 retirada_condensado_linha@L2 retirada_condensado_linha@L3 retirada_condensado_total@L1_L7,lth_grupo@L1_L3 retirada_cond_corr_lth@L1_L3 retirada_condensado_grupo@L1_L3 retirada_condensado_linha@L1 retirada_condensado_linha@L2 retirada_condensado_linha@L3 retirada_condensado_total@L1_L7,PASS
lth@L4 +10%,lth@L4,900.0,990.0,lth_grupo@L4_L5 retirada_cond_corr_lth@L4_L5 retirada_condensado_grupo@L4_L5 retirada_condensado_linha@L4 retirada_condensado_linha@L5 retirada_condensado_total@L1_L7,lth_grupo@L4_L5 retirada_cond_corr_lth@L4_L5 retirada_condensado_grupo@L4_L5 retirada_condensado_linha@L4 retirada_condensado_linha@L5 retirada_condensado_total@L1_L7,PASS
lth@L7 +10%,lth@L7,1200.0,1320.0,lth_grupo@L6_L7 retirada_cond_corr_lth@L6_L7 retirada_condensado_grupo@L6_L7 retirada_condensado_linha@L6 retirada_condensado_linha@L7 retirada_condensado_total@L1_L7,lth_grupo@L6_L7 retirada_cond_corr_lth@L6_L7 retirada_condensado_grupo@L6_L7 retirada_condensado_linha@L6 retirada_condensado_linha@L7 retirada_condensado_total@L1_L7,PASS
valor_retirada@L2 +1,valor_retirada@L2,47.0,48.0,retirada_condensado_grupo@L1_L3 retirada_condensado_linha@L1 retirada_condensado_linha@L2 retirada_condensado_linha@L3 retirada_condensado_total@L1_L7,retirada_condensado_grupo@L1_L3 retirada_condensado_linha@L1 retirada_condensado_linha@L2 retirada_condensado_linha@L3 retirada_condensado_total@L1_L7,PASS
vazao_ltp@L6_L7,vazao_ltp@L6_L7,1250.0,1400.0,retirada_cond_corr_ltp@L6_L7 retirada_condensado_grupo@L6_L7 retirada_condensado_linha@L6 retirada_condensado_linha@L7 retirada_condensado_total@L1_L7,retirada_cond_corr_ltp@L6_L7 retirada_condensado_grupo@L6_L7 retirada_condensado_linha@L6 retirada_condensado_linha@L7 retirada_condensado_total@L1_L7,PASS
fator@L4_L5,fator_retirada_cond_corr_lth@L4_L5,1.05,1.2,retirada_cond_corr_lth@L4_L5 retirada_condensado_grupo@L4_L5 retirada_condensado_linha@L4 retirada_condensado_linha@L5 retirada_condensado_total@L1_L7,retirada_cond_corr_lth@L4_L5 retirada_condensado_grupo@L4_L5 retirada_condensado_linha@L4 retirada_condensado_linha@L5 retirada_condensado_total@L1_L7,PASS
hes_l4 Normal->LC,hes_l4@L4,Normal,LC,retirada_condensado_grupo@L4_L5 retirada_condensado_linha@L4 retirada_condensado_linha@L5 retirada_condensado_total@L1_L7,retirada_condensado_grupo@L4_L5 retirada_condensado_linha@L4 retirada_condensado_linha@L5 retirada_condensado_total@L1_L7,PASS
hes_l7 Normal->Overhaul/Parada,hes_l7@L7,Normal,Overhaul/Parada,retirada_condensado_grupo@L6_L7 retirada_condensado_linha@L6 retirada_condensado_linha@L7 retirada_condensado_total@L1_L7,retirada_condensado_grupo@L6_L7 retirada_condensado_linha@L6 retirada_condensado_linha@L7 retirada_condensado_total@L1_L7,PASS
41d@L4_L5 (ramo 1 By pass ativo),desconto_retirada_41d@L4_L5,4.0,9.0,retirada_condensado_grupo@L4_L5 retirada_condensado_linha@L4 retirada_condensado_linha@L5 retirada_condensado_total@L1_L7,retirada_condensado_grupo@L4_L5 retirada_condensado_linha@L4 retirada_condensado_linha@L5 retirada_condensado_total@L1_L7,PASS
41c@L4_L5 (ramo 1 By pass e LC ativo),desconto_retirada_41c@L4_L5,5.0,9.0,retirada_condensado_grupo@L4_L5 retirada_condensado_linha@L4 retirada_condensado_linha@L5 retirada_condensado_total@L1_L7,retirada_condensado_grupo@L4_L5 retirada_condensado_linha@L4 retirada_condensado_linha@L5 retirada_condensado_total@L1_L7,PASS
41c@L6_L7 (ramo 1 By pass ativo),desconto_retirada_41c@L6_L7,6.0,9.0,retirada_condensado_grupo@L6_L7 retirada_condensado_linha@L6 retirada_condensado_linha@L7 retirada_condensado_total@L1_L7,retirada_condensado_grupo@L6_L7 retirada_condensado_linha@L6 retirada_condensado_linha@L7 retirada_condensado_total@L1_L7,PASS
41c@L4_L5 com estados Normal (ramo inativo),desconto_retirada_41c@L4_L5,5.0,99.0,(nenhum: ramo inativo),,PASS
