consumidor,linha_consumidor,referencia,frequencia_consumidor,escopo_consumidor,modo,produtor_resolvido,frequencia_produtor,escopo_produtor,instancia_lida,temporal,produtor_plataforma,deterministico,independente_igual_plataforma
retirada_cond_corr_ltp@L1_L3,6,vazao_ltp,diário,linha_grupo/L1_L3,implícita,vazao_ltp (linha 3),mensal,linha_grupo/L1_L3,linha_grupo/L1_L3,frequência mais grossa (período que contém o dia),vazao_ltp (linha 3),sim,sim
retirada_cond_corr_ltp@L4_L5,7,vazao_ltp,diário,linha_grupo/L4_L5,implícita,vazao_ltp (linha 4),mensal,linha_grupo/L4_L5,linha_grupo/L4_L5,frequência mais grossa (período que contém o dia),vazao_ltp (linha 4),sim,sim
retirada_cond_corr_ltp@L6_L7,8,vazao_ltp,diário,linha_grupo/L6_L7,implícita,vazao_ltp (linha 5),mensal,linha_grupo/L6_L7,linha_grupo/L6_L7,frequência mais grossa (período que contém o dia),vazao_ltp (linha 5),sim,sim
lth_grupo@L1_L3,10,lth@L1,diário,linha_grupo/L1_L3,explícita,lth (linha 9),diário,linha/L1_L7,linha/L1,mesma frequência,lth (linha 9),sim,sim
lth_grupo@L1_L3,10,lth@L2,diário,linha_grupo/L1_L3,explícita,lth (linha 9),diário,linha/L1_L7,linha/L2,mesma frequência,lth (linha 9),sim,sim
lth_grupo@L1_L3,10,lth@L3,diário,linha_grupo/L1_L3,explícita,lth (linha 9),diário,linha/L1_L7,linha/L3,mesma frequência,lth (linha 9),sim,sim
lth_grupo@L4_L5,11,lth@L4,diário,linha_grupo/L4_L5,explícita,lth (linha 9),diário,linha/L1_L7,linha/L4,mesma frequência,lth (linha 9),sim,sim
lth_grupo@L4_L5,11,lth@L5,diário,linha_grupo/L4_L5,explícita,lth (linha 9),diário,linha/L1_L7,linha/L5,mesma frequência,lth (linha 9),sim,sim
lth_grupo@L6_L7,12,lth@L6,diário,linha_grupo/L6_L7,explícita,lth (linha 9),diário,linha/L1_L7,linha/L6,mesma frequência,lth (linha 9),sim,sim
lth_grupo@L6_L7,12,lth@L7,diário,linha_grupo/L6_L7,explícita,lth (linha 9),diário,linha/L1_L7,linha/L7,mesma frequência,lth (linha 9),sim,sim
retirada_cond_corr_lth@L1_L3,16,lth_grupo,diário,linha_grupo/L1_L3,implícita,lth_grupo (linha 10),diário,linha_grupo/L1_L3,linha_grupo/L1_L3,mesma frequência,lth_grupo (linha 10),sim,sim
retirada_cond_corr_lth@L1_L3,16,fator_retirada_cond_corr_lth,diário,linha_grupo/L1_L3,implícita,fator_retirada_cond_corr_lth (linha 13),mensal,linha_grupo/L1_L3,linha_grupo/L1_L3,frequência mais grossa (período que contém o dia),fator_retirada_cond_corr_lth (linha 13),sim,sim
