equation_definition_id,target,scope,platform_dependencies,dependency_count
EQ11001,yield,linha/L1_L7,ltp_a_c; ltp_tc; ratio_spent; sl_solids,4
EQ11002,ltp,linha/L1_L7,lth; ltp_lth,2
EQ11003,ssa_media,linha/L1_L7,ssa_sf; ssa_sg,2
EQ11004,n_ppt,linha/L1_L7,tanque; tanque_base,2
EQ11005,producao_base_ppt,linha/L1_L7,ltp; yield,2
EQ11006,ratio_spent,linha/L1_L7,eoc_solids; eoc_solids_base; eoc_temp; eoc_temp_base; ltp; ltp_base; ltp_tc; ltp_tc_base; n_ppt; n_ppt_base; ratio_spent_base; ssa_media; ssa_media_base,13
EQ11007,yield_base,linha/L1_L7,ltp_a_c_base; ltp_tc_base; ratio_spent_base; sl_solids_base,4
EQ11008,ltp_base,linha/L1_L7,lth_base; ltp_lth_base,2
EQ11009,ssa_media_base,linha/L1_L7,ssa_sf_base; ssa_sg_base,2
EQ11010,producao_base_ppt_base,linha/L1_L7,ltp_base; yield_base,2
EQ11011,yield,linha_grupo/L1_L3,ltp@L1; ltp@L2; ltp@L3; yield@L1; yield@L2; yield@L3,6
EQ11012,ratio_spent,linha_grupo/L1_L3,ltp@L1; ltp@L2; ltp@L3; ratio_spent@L1; ratio_spent@L2; ratio_spent@L3,6
EQ11013,eoc_temp,linha_grupo/L1_L3,eoc_temp@L1; eoc_temp@L2; eoc_temp@L3; ltp@L1; ltp@L2; ltp@L3,6
EQ11014,ltp,linha_grupo/L1_L3,ltp@L1; ltp@L2; ltp@L3,3
EQ11015,lth,linha_grupo/L1_L3,lth@L1; lth@L2; lth@L3,3
EQ11016,oee,linha_grupo/L1_L3,oee@L1; oee@L2; oee@L3,3
EQ11017,ltp_lth,linha_grupo/L1_L3,ltp_lth@L1; ltp_lth@L2; ltp_lth@L3,3
EQ11018,ltp_tc,linha_grupo/L1_L3,ltp_tc@L1; ltp_tc@L2; ltp_tc@L3,3
EQ11019,ltp_a_c,linha_grupo/L1_L3,ltp_a_c@L1; ltp_a_c@L2; ltp_a_c@L3,3
EQ11020,sl_solids,linha_grupo/L1_L3,sl_solids@L1; sl_solids@L2; sl_solids@L3,3
EQ11021,ssa_sf,linha_grupo/L1_L3,ssa_sf@L1; ssa_sf@L2; ssa_sf@L3,3
EQ11022,ssa_sg,linha_grupo/L1_L3,ssa_sg@L1; ssa_sg@L2; ssa_sg@L3,3
EQ11023,ssa_media,linha_grupo/L1_L3,ssa_media@L1; ssa_media@L2; ssa_media@L3,3
EQ11024,n_ppt,linha_grupo/L1_L3,n_ppt@L1; n_ppt@L2; n_ppt@L3,3
EQ11025,eoc_solids,linha_grupo/L1_L3,eoc_solids@L1; eoc_solids@L2; eoc_solids@L3,3
EQ11026,producao_base_ppt,linha_grupo/L1_L3,producao_base_ppt@L1; producao_base_ppt@L2; producao_base_ppt@L3,3
EQ11027,yield,linha_grupo/L4_L5,ltp@L4; ltp@L5; yield@L4; yield@L5,4
