equation_id,equation_definition_id,target_variable,scope_type,scope_value,dependencies,dependency_scopes,producer_ids,execution_order,status,executable,gap_id
EQ11002@linha:L1,EQ11002,ltp,linha,L1,,VAR11003; VAR11005,,0,PUBLISHED,YES,
EQ11002@linha:L2,EQ11002,ltp,linha,L2,,VAR11003; VAR11005,,1,PUBLISHED,YES,
EQ11002@linha:L3,EQ11002,ltp,linha,L3,,VAR11003; VAR11005,,2,PUBLISHED,YES,
EQ11002@linha:L4,EQ11002,ltp,linha,L4,,VAR11003; VAR11005,,3,PUBLISHED,YES,
EQ11002@linha:L5,EQ11002,ltp,linha,L5,,VAR11003; VAR11005,,4,PUBLISHED,YES,
EQ11002@linha:L6,EQ11002,ltp,linha,L6,,VAR11003; VAR11005,,5,PUBLISHED,YES,
EQ11002@linha:L7,EQ11002,ltp,linha,L7,,VAR11003; VAR11005,,6,PUBLISHED,YES,
EQ11003@linha:L1,EQ11003,ssa_media,linha,L1,,VAR11009; VAR11010,,7,PUBLISHED,YES,
EQ11003@linha:L2,EQ11003,ssa_media,linha,L2,,VAR11009; VAR11010,,8,PUBLISHED,YES,
EQ11003@linha:L3,EQ11003,ssa_media,linha,L3,,VAR11009; VAR11010,,9,PUBLISHED,YES,
EQ11003@linha:L4,EQ11003,ssa_media,linha,L4,,VAR11009; VAR11010,,10,PUBLISHED,YES,
EQ11003@linha:L5,EQ11003,ssa_media,linha,L5,,VAR11009; VAR11010,,11,PUBLISHED,YES,
EQ11003@linha:L6,EQ11003,ssa_media,linha,L6,,VAR11009; VAR11010,,12,PUBLISHED,YES,
EQ11003@linha:L7,EQ11003,ssa_media,linha,L7,,VAR11009; VAR11010,,13,PUBLISHED,YES,
EQ11004@linha:L1,EQ11004,n_ppt,linha,L1,,PARAM11003; VAR11239,,14,PUBLISHED,YES,
EQ11004@linha:L2,EQ11004,n_ppt,linha,L2,,PARAM11003; VAR11239,,15,PUBLISHED,YES,
EQ11004@linha:L3,EQ11004,n_ppt,linha,L3,,PARAM11003; VAR11239,,16,PUBLISHED,YES,
EQ11004@linha:L4,EQ11004,n_ppt,linha,L4,,PARAM11003; VAR11239,,17,PUBLISHED,YES,
EQ11004@linha:L5,EQ11004,n_ppt,linha,L5,,PARAM11003; VAR11239,,18,PUBLISHED,YES,
EQ11004@linha:L6,EQ11004,n_ppt,linha,L6,,PARAM11003; VAR11239,,19,PUBLISHED,YES,
EQ11004@linha:L7,EQ11004,n_ppt,linha,L7,,PARAM11003; VAR11239,,20,PUBLISHED,YES,
EQ11007@linha:L1,EQ11007,yield_base,linha,L1,,PARAM11002; VAR11085; VAR11086; VAR11087,,21,PUBLISHED,YES,
EQ11007@linha:L2,EQ11007,yield_base,linha,L2,,PARAM11002; VAR11085; VAR11086; VAR11087,,22,PUBLISHED,YES,
EQ11007@linha:L3,EQ11007,yield_base,linha,L3,,PARAM11002; VAR11085; VAR11086; VAR11087,,23,PUBLISHED,YES,
EQ11007@linha:L4,EQ11007,yield_base,linha,L4,,PARAM11002; VAR11085; VAR11086; VAR11087,,24,PUBLISHED,YES,
EQ11007@linha:L5,EQ11007,yield_base,linha,L5,,PARAM11002; VAR11085; VAR11086; VAR11087,,25,PUBLISHED,YES,
EQ11007@linha:L6,EQ11007,yield_base,linha,L6,,PARAM11002; VAR11085; VAR11086; VAR11087,,26,PUBLISHED,YES,
EQ11007@linha:L7,EQ11007,yield_base,linha,L7,,PARAM11002; VAR11085; VAR11086; VAR11087,,27,PUBLISHED,YES,
EQ11008@linha:L1,EQ11008,ltp_base,linha,L1,,VAR11082; VAR11084,,28,PUBLISHED,YES,
EQ11008@linha:L2,EQ11008,ltp_base,linha,L2,,VAR11082; VAR11084,,29,PUBLISHED,YES,
EQ11008@linha:L3,EQ11008,ltp_base,linha,L3,,VAR11082; VAR11084,,30,PUBLISHED,YES,
EQ11008@linha:L4,EQ11008,ltp_base,linha,L4,,VAR11082; VAR11084,,31,PUBLISHED,YES,
EQ11008@linha:L5,EQ11008,ltp_base,linha,L5,,VAR11082; VAR11084,,32,PUBLISHED,YES,
EQ11008@linha:L6,EQ11008,ltp_base,linha,L6,,VAR11082; VAR11084,,33,PUBLISHED,YES,
EQ11008@linha:L7,EQ11008,ltp_base,linha,L7,,VAR11082; VAR11084,,34,PUBLISHED,YES,
EQ11009@linha:L1,EQ11009,ssa_media_base,linha,L1,,VAR11088; VAR11089,,35,PUBLISHED,YES,
